Cust_Chn_Nm	UNT_NAM	Trx_Amt
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-16.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	15605.88
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-758290.00
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	300.50
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-1640.00
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	43500.00
北京高阳捷迅信息技术有限公司	江苏小旗欧飞科技有限公司	-3000.00
河南广安生物科技股份有限公司	河南广安生物科技股份有限公司	510000.00
上海工享企业管理（集团）有限公司	闽侯县博飞信息科技有限公司	-3685.50
深圳硕软技术有限公司	江苏小旗欧飞科技有限公司	400000.00
北京利通汽车咨询服务有限公司	北京利通汽车咨询服务有限公司	113328.61
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	1.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	910.65
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	2756.00
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	16420.16
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-2052.00
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	2607.50
北京高阳捷迅信息技术有限公司	深圳硕软技术有限公司	-80000.00
上海工享企业管理（集团）有限公司	闽侯县博飞信息科技有限公司	-7158.29
北京利通汽车咨询服务有限公司	北京利通汽车咨询服务有限公司	1026234.90
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	18.70
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2195.25
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	1989.00
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	36.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-589826.79
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	3020.00
北京高阳捷迅信息技术有限公司	海南劲峰钱包信息技术有限公司	722.70
上海工享企业管理（集团）有限公司	闽侯县博飞信息科技有限公司	-49586.30
北京利通汽车咨询服务有限公司	北京利通汽车咨询服务有限公司	691074.52
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-483.67
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	72.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	36037.77
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	720.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-275.00
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	1480.10
北京高阳捷迅信息技术有限公司	深圳硕软技术有限公司	-100000.00
上海工享企业管理（集团）有限公司	闽侯县博飞信息科技有限公司	-23978.39
北京利通汽车咨询服务有限公司	北京利通汽车咨询服务有限公司	4000000.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	42.00
