Cust_Chn_Nm	UNT_NAM	Trx_Amt
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-2139000.00
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	-63834.54
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-7339.00
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	3039.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	3352.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	531.52
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-89140.40
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	970.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-700.00
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	4891.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-0.29
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1669.05
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-215600.00
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	904.50
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	119076.30
北京五八信息技术有限公司	驿路星辰（北京）科技有限公司	4620.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	1.76
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	15418.64
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-4363769.74
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	5056.23
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-7275.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	1.40
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	544.22
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-794187.88
浙江邮通文博服务有限公司	浙江中通文博服务有限公司	16691.31
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-2250.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-460.90
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	11361.34
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12670.20
佛山市莫阿提物流有限公司	申通快递有限公司	60000.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-1545.60
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-19.66
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	34.98
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-124074.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-90.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	5623.67
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	40.34
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	4800.00
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-2000.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	5278.58
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	202.44
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-9274.48
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-5400.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	-446.20
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2476.04
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	372123.10
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-8420.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	11573.96
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	13475.00
