UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
北京金腾盛兴科技有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
上海谷幽投资管理中心（有限合伙）	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
湖南轩意清信息科技有限公司	 	 	 	 	BLK	 	长沙	 	?	BLKS	2020/10/27	731	Y	洗钱
东莞市名昇贸易有限公司	 	 	 	 	BLK	 	东莞	 	?	BLKS	2020/10/27	769	Y	洗钱
中国华东集团(香港)有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	277	Y	洗钱
中山市七日信息科技有限公司	 	 	 	 	BLK	 	中山	 	?	BLKS	2020/10/27	760	Y	洗钱
江苏交科工程检测技术有限公司	?	?	?	?	BLK	?	乌鲁木齐	?	?	BLKM	2020/7/17	991	Y	集中操控
海陵区林群水产品经营部	 	 	 	 	BLK	 	泰州	 	?	BLKS	2020/10/27	523	Y	洗钱
大连明联贸易有限公司	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
AUGUS INDUSTRY CO., LTD	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
宜信博诚保险销售服务（北京）股份有限公司嘉兴分公司	 	 	 	 	BLK	 	嘉兴	 	?	BLKS	2020/10/27	573	Y	洗钱
广西奥淘神资产管理有限公司	 	 	 	 	BLK	 	柳州	 	?	BLKS	2020/10/27	772	Y	洗钱
宜信普诚信用管理（北京）有限公司重庆江北分公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/10/27	123	Y	洗钱
深圳市英之健科技有限公司	?	?	?	?	BLK	?	深圳	?	CMG	BLKS	2020/5/29	755	Y	3_对公红色预警
瑞安市卓祥电子商务有限公司	 	 	 	 	BLK	 	瑞安	 	?	BLKS	2020/10/27	587	Y	洗钱
普信恒业科技发展（北京）有限公司天津分公司	 	 	 	 	BLK	 	滨海	 	?	BLKS	2020/10/27	122	Y	洗钱
长春市丰晶凯科技有限公司	 	 	 	 	BLK	 	长春	 	?	BLKS	2020/10/27	431	Y	洗钱
北京生达商贸有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/10/27	110	Y	洗钱
深圳市万华五金材料有限公司	?	?	?	?	BLK	广东	深圳	?	CMG	BLKM	2020/3/23	755	QZ	养公积金
佛山市珀庆建材有限公司	 	 	 	 	BLK	 	佛山	 	?	BLKS	2020/10/27	757	Y	洗钱
重庆臻工坊科技有限公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/7/17	123	Y	洗钱
北京信合广美商贸有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/7/17	110	Y	洗钱
CATHAY LAND INDUSTRIES (CHINA) CO., LTD	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	275	Y	洗钱
大连政威达文化传媒有限公司	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
深圳市年富供应链有限公司	?	?	?	?	BLK	?	深圳	?	CMG	BLKS	2020/5/29	755	Y	3_对公红色预警
北京鲲鹏嘉汇教育科技有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
北京祥健玉轩商贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
张家港康得新光电材料有限公司	?	?	?	?	BLK	?	苏州	?	CMG	BLKS	2020/5/29	512	Y	3_对公红色预警
扬州广利钢管制造有限公司	?	?	?	?	BLK	?	扬州	?	CMG	BLKS	2020/5/29	613	Y	3_对公红色预警
江苏钱宝信息产业投资有限公司	 	 	 	 	BLK	 	南京	 	?	BLKS	2020/7/17	125	Y	洗钱
上海腾达国际物流有限公司青岛分公司	 	 	 	 	BLK	 	青岛	 	?	BLKS	2020/10/27	532	Y	洗钱
北京君城荣达商贸有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/10/27	110	Y	洗钱
重庆博炬青年科技孵化器有限公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/7/17	123	Y	洗钱
深圳市万汇盛贸易有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/7/17	755	Y	洗钱
徐州创客邦孵化管理有限公司	 	 	 	 	BLK	 	徐州	 	?	BLKS	2020/10/27	516	Y	洗钱
东北特殊钢集团股份有限公司	?	?	?	?	BLK	?	大连	?	CMG	BLKS	2020/5/29	411	Y	4_对公违约25级
深圳市易得广告有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
昆山市玉山镇雅纯花店	 	 	 	 	BLK	 	苏州	 	?	BLKS	2020/10/27	512	Y	洗钱
北京蓝跃科技有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
香港捷贸供应链管理有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	200	Y	洗钱
PETROCORE CO., LTD	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
新余高新区和诺投资合伙企业（有限合伙）	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
成都集赢商务信息咨询有限公司	 	 	 	 	BLK	 	成都	 	?	BLKS	2020/10/27	128	Y	洗钱
河南冰雪旅游文化发展有限公司	 	 	 	 	BLK	 	郑州	 	?	BLKS	2020/10/27	371	Y	洗钱
北京华泰明厨房设备有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
山西盈信通企业管理咨询有限公司	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/10/27	351	Y	洗钱
南京逸盛信息科技有限公司	 	 	 	 	BLK	 	南京	 	?	BLKS	2020/10/27	125	Y	洗钱
宜信普惠信息咨询（北京）有限公司银川第二分公司	 	 	 	 	BLK	 	银川	 	?	BLKS	2020/10/27	951	Y	洗钱
海风国际贸易有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	211	Y	洗钱
广州汇七实业有限公司	 	 	 	 	BLK	 	广州	 	?	BLKS	2020/10/27	120	Y	洗钱
万众实业有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	222	Y	洗钱
杭州美依康丽贸易有限公司	 	 	 	 	BLK	 	杭州	 	?	BLKS	2020/10/27	571	Y	洗钱
晋江和千中贸易有限公司	 	 	 	 	BLK	 	泉州	 	?	BLKS	2020/10/27	595	Y	洗钱
深圳长城家俱装饰工程有限公司	?	?	?	?	BLK	?	上海	?	?	BLKM	2020/7/17	121	Y	失信被执行人
宜信普惠信息咨询（北京）有限公司常州第四分公司	 	 	 	 	BLK	 	常州	 	?	BLKS	2020/10/27	519	Y	洗钱
重庆保信达企业管理有限公司	?	?	?	?	BLK	重庆	重庆	?	CMG	BLKM	2020/3/23	123	QZ	养公积金
厦门奇妙海餐饮管理合伙企业（有限合伙）	 	 	 	 	BLK	 	厦门	 	?	BLKS	2020/10/27	592	Y	洗钱
上海七甲电脑有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
株洲众财投资管理有限公司	 	 	 	 	BLK	 	株洲	 	?	BLKS	2020/10/27	733	Y	洗钱
大连三高集团有限公司	?	?	?	?	BLK	?	大连	?	CMG	BLKS	2020/5/29	411	Y	3_对公红色预警
广西埃洒仑国际贸易有限公司	 	 	 	 	BLK	 	南宁	 	?	BLKS	2020/10/27	771	Y	洗钱
HUAYUE ENERGY (HONGKONG) COMPANY LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	296	Y	洗钱
北京众鸣在线科技有限公司	?	?	?	?	BLK	?	武汉	?	?	BLKM	2020/7/17	127	Y	集中操控
大连文浩明杰人力资源服务有限公司	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
蓝宝海运有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
南通戈马国际贸易有限公司	 	 	 	 	BLK	 	南通	 	?	BLKS	2020/10/27	513	Y	洗钱
晋安区荣欣欣办公用品店	 	 	 	 	BLK	 	福州	 	?	BLKS	2020/10/27	591	Y	洗钱
