UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
沈阳市蓝调迪装饰材料经销处	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
LG	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/10/27	123	Y	洗钱
宁波大地铜业有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	106	Y	洗钱
香港健坤能源有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	271	Y	洗钱
厦门信戈劳务派遣有限公司	 	 	 	 	BLK	 	厦门	 	?	BLKS	2020/10/27	592	Y	洗钱
厦门三盛元进出口有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	292	Y	洗钱
青岛青西大宗商品交易中心有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
南京迈特望科技股份有限公司	?	?	?	?	BLK	?	南京	?	?	BLKM	2020/8/23		Y	集中操控
大连金阳进出口有限公司工会委员会	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
北京启德祥商贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
凯瑞实业科技有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	292	Y	洗钱
深圳市昌盛达实业有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
FRANDY GLOBAL LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	279	Y	洗钱
深圳市稳速网络科技有限公司	?	?	?	?	BLK	广东	深圳	?	DF	BLKM	2019/8/16	755	QZ	养代发
江西裕楹昶建设工程有限公司	 	 	 	 	BLK	 	赣州	 	?	BLKS	2020/10/27	797	Y	洗钱
上海日邮汽车运输有限公司	?	?	?	?	BLK	?	上海	?	?	BLKM	2020/7/17	121	Y	失信被执行人
广西勤展商贸有限公司	 	 	 	 	BLK	 	南宁	 	?	BLKS	2020/10/27	771	Y	洗钱
